Customer Remarks,CSAT Score,cleaned_remarks
"For the last 4 days my issue is un resolved, please get it resolved at the earliest. The concerned supplier is not responding my calls and what's app. ",5,last 4 days issue un resolved please get resolved earliest concerned supplier not responding calls app
"Shopzilla fraud company wrong  item provided And costumer services is also  bad bad behavior  and no justified answer provider no help  I was given the wrong product and I complained within 5 days, I was told that it will be delivered on 17th August but still not received",1,shopzilla fraud company wrong item provided costumer services also bad bad behavior no justified answer provider no help given wrong product complained within 5 days told delivered 17th august still not received
Very nice costume care ,5,nice costume care
I am happy ??,5,happy
Mera product missing ho gaya hai kripya    ,5,mera product missing ho gaya hai kripya
Excellent ,5,excellent
Fatima'z understanding skill is good...... Fully satisfied with her ????,5,fatima z understanding skill good fully satisfied
Very nice talking skill ,5,nice talking skill
Agent said he will give immediate resolution. But until now issue is not solved and mentioned resolution time of 27 Aug without my consent.,1,agent said give immediate resolution issue not solved mentioned resolution time 27 aug without consent
Nothing wrong with the rep. Its just i waited for the delivery since yesterday and the previous rep told me it would be delivered yesterday but so far it hasnt. I took leave just to stay home n receive the order as i stay alone. Very disappointed. Its still not out for delivery yet,1,nothing wrong rep waited delivery since yesterday previous rep told would delivered yesterday far hasnt took leave stay home n receive order stay alone disappointed still not delivery yet
no,5,no
Tq ,5,tq
"Choose sellers that are not scam. Sadly, I ordered from a scamster and Shopzilla as a company is useless, not the customer support executive. No help with fraud sellers. ",5,choose sellers not scam sadly ordered scamster shopzilla company useless not customer support executive no help fraud sellers
Please deliver what's promised and shown in your   and let the seller give all what is shown since that's what we pay for else no one will believe Shopzilla ever,5,please deliver promised shown let seller give shown since pay else no one believe shopzilla ever
Nice work ,5,nice work
Great one ,5,great one
Customer care feedback something easily,5,customer care feedback something easily
Good ,5,good
Very good????,5,good
Pickup delivery is very bad Mera parcel 1onths se     nahi  ,5,pickup delivery bad mera parcel 1onths se nahi
"ATLEAST TILL WHEN THE PRODUCT IS NOT SHIPPED OR DISPATCHED, SIZE CHANGE FACILITY SHOULD BE PROVIDED FOR NON- RETURNABLE PRODUCTS.",5,atleast till product not shipped dispatched size change facility provided non returnable products
Good,5,good
Agent was very good but please change the seller this is wrong 50 rupees was deducted without any reason and please understand all people are not fake so I want to request to ceo of fkp please don't do this kind of issue because I am the person who never waste my money ?? so request please solve my query because I am really disappointed ?? through your seller policy....,5,agent good please change seller wrong 50 rupees deducted without reason please understand people not fake want request ceo fkp please kind issue person never waste money request please solve query really disappointed seller policy
Very good experience Shopzilla costomer   team',5,good experience shopzilla costomer team
The person I talked to was very polite and listened to my query very patiently after that she responded very polity .I am very happy with the response ,5,person talked polite listened query patiently responded polity happy response
??????? ??? ?? ??????? ???? ??? ???? ????? ???? ???? ??????? ??? ???? ?????????? 3 ??? ?? ???? ???????? ????? ?? ??? ?? ???? ???? ?????????? ??? ?? ??????? ???? ??? ?? ??? ?????????? ?? ???????? ?? ???? ?? ????? ?? ??????,1,3
Good ,5,good
no suggestions,5,no suggestions
Very bad experience of Shopzilla ,5,bad experience shopzilla
Please deliver my product as soon as possible within 25 aug ,5,please deliver product soon possible within 25 aug
Thanks ?? ,5,thanks
Nice,5,nice
Good ,5,good
Good ,5,good
Achha ,5,achha
Upgrade help policy,4,upgrade help policy
Complain not solve,4,complain not solve
Thanku,5,thanku
I am happy ,5,happy
Good service ??,5,good service
My issue is not solved ,1,issue not solved
Bad,1,bad
Good,5,good
My issue still not resolved. The customer support is not keen on resolving my issue. Still unsatisfied.,1,issue still not resolved customer support not keen resolving issue still unsatisfied
Still waiting for the resolution.  It's taking longer than expected. Hope   will pickup the old device and will transfer the old device exchange value as promised ,5,still waiting resolution taking longer expected hope pickup old device transfer old device exchange value promised
